"case_id","reason","age","from","to","lost_time","found_date"
"4492","put up for adoption",5,"Henan","Henan",27,2022
"4491","trafficked",3,"Heilongjiang","Jiangsu",28,2022
"4490","put up for adoption",0,"Jiangsu","Jiangsu",46,2022
"4489","trafficked",5,"Guizhou","Fujian",18,2022
"4488","trafficked",3,"Sichuan","Jiangsu",34,2022
"4487","put up for adoption",5,"Guangdong","Hunan",16,2022
"4486","put up for adoption",3,"Guangdong","Hunan",16,2022
"4485","trafficked",3,"Sichuan","Guangdong",31,2022
"4484","trafficked",4,"Henan","Henan",29,2022
"4483","put up for adoption",4,"Anhui","Henan",32,2022
"4482","put up for adoption",0,"Fujian","Fujian",29,2022
"4481","trafficked",4,"Guangxi","Anhui",36,2022
"4480","trafficked",5,"Yunnan","Shandong",22,2022
"4479","put up for adoption",1,"Guangdong","Guangdong",25,2022
"4477","trafficked",5,"Henan","Henan",26,2022
"4476","put up for adoption",2,"Sichuan","Fujian",22,2022
"4475","trafficked",4,"Hubei","Hubei",27,2022
"4473","trafficked",2,"Sichuan","Fujian",28,2022
"4472","trafficked",4,"Hunan","Fujian",28,2022
"4471","trafficked",0,"Guangdong","Guangdong",19,2022
"4470","trafficked",3,"Henan","Hebei",29,2022
"4469","put up for adoption",1,"Anhui","Anhui",46,2022
"4468","abandoned",0,"Hubei","Hubei",28,2022
"4467","trafficked",5,"Shaanxi","Anhui",19,2022
"4466","trafficked",4,"Shaanxi","Hebei",30,2022
"4465","lost",6,"Hunan","Guangdong",22,2022
"4464","lost",7,"Guizhou","Guizhou",24,2022
"4463","trafficked",8,"Guangxi","Fujian",30,2022
"4462","trafficked",0,"Guangxi","Guangdong",32,2022
"4461","trafficked",2,"Guangdong","Guangdong",27,2022
"4460","trafficked",2,"Guizhou","Jiangsu",33,2022
"4459","trafficked",10,"Guangxi","Guangxi",19,2022
"4458","put up for adoption",0,"Guangdong","Guangdong",36,2022
"4457","lost",5,"Henan","Hubei",33,2022
"4456","trafficked",2,"Beijing","Shaanxi",35,2022
"4455","trafficked",1,"Guizhou","Guangdong",23,2022
"4454","put up for adoption",0,"Shanxi","Henan",37,2022
"4453","trafficked",0,"Sichuan","Fujian",32,2022
"4452","trafficked",6,"Guizhou","Henan",32,2022
"4451","lost",7,"Sichuan","Sichuan",23,2022
"4450","lost",7,"Sichuan","Xinjiang",64,2022
"4448","put up for adoption",0,"Shanxi","Inner Mongol",54,2022
"4446","trafficked",1,"Guizhou","Fujian",27,2022
"4445","trafficked",3,"Sichuan","Fujian",31,2022
"4444","trafficked",4,"Sichuan","Henan",31,2022
